model,ckpt_kind,lambda,SR05,SR10,RMSE,SR05_noisy,RMSE_noisy,SR05_clean,RMSE_clean,ckpt,source,eval_returncode_sr05,eval_returncode_sr10,out_json_sr05,out_json_sr10
old_rgat,ft128_plain_loss,0.8,0.3677,0.6349,2.389084067450235,,,,,exp_scm_rddm_gat_runs/ft_old_t128_sep3_plain_e20/20260427_091806\best_model_loss=0.024300.pth,E:\code documents\RDDM-GAT 新版改t的嵌入\exp_fixed_eval_after_sampling_fix\finetune_compare_project_lam_sweep_sep3_5000.json,,,,
old_rgat,ft128_plain_loss,0.9,0.3714,0.6437,1.8266609024279108,,,,,exp_scm_rddm_gat_runs/ft_old_t128_sep3_plain_e20/20260427_091806\best_model_loss=0.024300.pth,E:\code documents\RDDM-GAT 新版改t的嵌入\exp_fixed_eval_after_sampling_fix\finetune_compare_project_lam_sweep_sep3_5000.json,,,,
old_rgat,ft128_plain_loss,1,0.3769,0.6524,1.330399428488253,,,,,exp_scm_rddm_gat_runs/ft_old_t128_sep3_plain_e20/20260427_091806\best_model_loss=0.024300.pth,E:\code documents\RDDM-GAT 新版改t的嵌入\exp_fixed_eval_after_sampling_fix\finetune_compare_project_lam_sweep_sep3_5000.json,,,,
old_rgat,ft128_plain_loss,1.1,0.3692,0.6428,2.1869788728287602,,,,,exp_scm_rddm_gat_runs/ft_old_t128_sep3_plain_e20/20260427_091806\best_model_loss=0.024300.pth,E:\code documents\RDDM-GAT 新版改t的嵌入\exp_fixed_eval_after_sampling_fix\finetune_compare_project_lam_sweep_sep3_5000.json,,,,
old_rgat,ft128_plain_music,0.8,0.371,0.6438,2.137357212028684,,,,,exp_scm_rddm_gat_runs/ft_old_t128_sep3_plain_e20/20260427_091806\best_music_sr=0.3063_rmse=1.9145.pth,E:\code documents\RDDM-GAT 新版改t的嵌入\exp_fixed_eval_after_sampling_fix\finetune_compare_project_lam_sweep_sep3_5000.json,,,,
old_rgat,ft128_plain_music,0.9,0.3766,0.6515,1.594960118400005,,,,,exp_scm_rddm_gat_runs/ft_old_t128_sep3_plain_e20/20260427_091806\best_music_sr=0.3063_rmse=1.9145.pth,E:\code documents\RDDM-GAT 新版改t的嵌入\exp_fixed_eval_after_sampling_fix\finetune_compare_project_lam_sweep_sep3_5000.json,,,,
old_rgat,ft128_plain_music,1,0.3817,0.6603,1.1972090078159163,,,,,exp_scm_rddm_gat_runs/ft_old_t128_sep3_plain_e20/20260427_091806\best_music_sr=0.3063_rmse=1.9145.pth,E:\code documents\RDDM-GAT 新版改t的嵌入\exp_fixed_eval_after_sampling_fix\finetune_compare_project_lam_sweep_sep3_5000.json,,,,
old_rgat,ft128_plain_music,1.1,0.378,0.6545,1.6133708262994233,,,,,exp_scm_rddm_gat_runs/ft_old_t128_sep3_plain_e20/20260427_091806\best_music_sr=0.3063_rmse=1.9145.pth,E:\code documents\RDDM-GAT 新版改t的嵌入\exp_fixed_eval_after_sampling_fix\finetune_compare_project_lam_sweep_sep3_5000.json,,,,
unet_cbam,unet_best_loss,1,0.388,0.6732,1.034759091904402,0.349,4.685537051955898,0.9888,0.2864283616564741,E:\code documents\RDDM-GAT 新版改t的嵌入\exp_unet_attention_ablation\attn_lambda1_pretrain_20260501_143335\cbam\attn_lambda1_pretrain_cbam_20260501_145057\runs\unet_ft_sep3_t128\20260501_145100\best_model_loss=0.022254.pth,,0,0,E:\code documents\RDDM-GAT 新版改t的嵌入\exp_unet_attention_ablation\attn_lambda1_pretrain_20260501_143335\cbam\attn_lambda1_pretrain_cbam_20260501_145057\eval\unet_best_loss_lam1_sr05.json,E:\code documents\RDDM-GAT 新版改t的嵌入\exp_unet_attention_ablation\attn_lambda1_pretrain_20260501_143335\cbam\attn_lambda1_pretrain_cbam_20260501_145057\eval\unet_best_loss_lam1_sr10.json
unet_cbam,unet_best_music,1,0.3875,0.673,1.0194911277138616,0.349,4.685537051955898,0.9888,0.2864283616564741,E:\code documents\RDDM-GAT 新版改t的嵌入\exp_unet_attention_ablation\attn_lambda1_pretrain_20260501_143335\cbam\attn_lambda1_pretrain_cbam_20260501_145057\runs\unet_ft_sep3_t128\20260501_145100\best_music_sr_sr=0.3055_rmse=1.6785.pth,,0,0,E:\code documents\RDDM-GAT 新版改t的嵌入\exp_unet_attention_ablation\attn_lambda1_pretrain_20260501_143335\cbam\attn_lambda1_pretrain_cbam_20260501_145057\eval\unet_best_music_lam1_sr05.json,E:\code documents\RDDM-GAT 新版改t的嵌入\exp_unet_attention_ablation\attn_lambda1_pretrain_20260501_143335\cbam\attn_lambda1_pretrain_cbam_20260501_145057\eval\unet_best_music_lam1_sr10.json
